직업번호,새파일명,이전파일명,직업명_KR,직업명_JP,AI관계유형,생성프롬프트(요약)
"1","1-IR.png","1-IR.png","AI 엔지니어","AIエンジニア","AI 공생형","The cat wears a lab coat, typing on a chunky retro keyboard. A blocky CRT monitor showing "
"2","2-IC.png","2-IC.png","빅데이터 분석가","ビッグデータアナリスト","AI 공생형","The cat wears glasses and a sweater vest, pointing at a chunky whiteboard with colorful ba"
"3","3-SI.png","3-IS.png","AI 윤리 전문가","AI倫理専門家","AI 공생형","The cat wears a formal suit with a badge, holding a gavel. A scale of justice and a small "
"4","4-RI.png","4-RI.png","로보틱스 엔지니어","ロボティクスエンジニア","AI 공생형","The cat wears a mechanic jumpsuit with oil stains, holding a wrench. A half-built robot ar"
"5","5-IR.png","5-IC.png","데이터 사이언티스트","データサイエンティスト","AI 공생형","The cat wears a hoodie, sitting at a laptop showing scatter plots. Coffee cup, sticky note"
"6","6-CI.png","6-CI.png","AI 트레이너","AIトレーナー","AI 공생형","The cat wears a teacher outfit with glasses, holding flashcards labeled GOOD and BAD. A sm"
"7","7-IR.png","7-IC.png","소프트웨어 개발자","ソフトウェア開発者","AI 강화형","The cat wears a hoodie with hood up, typing on a keyboard. Dual CRT monitors show green sc"
"8","8-AI.png","8-AI.png","UX 디자이너","UXデザイナー","AI 강화형","The cat wears a beret and turtleneck, drawing on a big tablet with a stylus. Colorful post"
"9","9-EA.png","9-EA.png","마케터","マーケター","AI 강화형","The cat wears a sharp business suit and tie, pointing at a presentation board showing a ri"
"10","10-AE.png","10-AE.png","영상 크리에이터","映像クリエイター","AI 강화형","The cat holds a chunky video camera on its shoulder. A director chair with clapperboard, a"
"11","11-IR.png","11-IS.png","의사","医師","AI 강화형","The cat wears a white doctor coat with stethoscope, examining a teddy bear patient. Medica"
"12","12-IC.png","12-IC.png","약사","薬剤師","AI 강화형","The cat wears a pharmacist coat, measuring powder with a tiny spoon into a jar. Medicine b"
"13","13-EI.png","13-EI.png","변호사","弁護士","AI 강화형","The cat wears a suit and tie, slamming paw on desk. Thick law books stacked, a gavel, and "
"14","14-AR.png","14-RA.png","건축가","建築家","AI 강화형","The cat wears a hard hat, unrolling blueprints on a drafting table. A small building model"
"15","15-SA.png","15-SA.png","교사","教師","AI 강화형","The cat wears glasses and a cardigan, writing equations on a small chalkboard. An apple, t"
"16","16-IR.png","16-IR.png","과학자","科学者","AI 강화형","The cat wears safety goggles and lab coat, pouring bubbling liquid between beakers. Test t"
"17","17-IA.png","17-EA.png","기자","記者","AI 강화형","The cat wears a press vest with PRESS badge, running with notepad and pen. A camera hangin"
"18","18-RI.png","18-RI.png","환경 엔지니어","環境エンジニア","AI 강화형","The cat wears a green hard hat with leaf logo, holding a water sample test tube. A small s"
"19","19-SI.png","19-SI.png","간호사","看護師","AI 강화형","The cat wears nurse scrubs and cap, taking a teddy bear's temperature with thermometer. Fi"
"20","20-SA.png","20-SA.png","심리상담사","心理カウンセラー","AI 강화형","The cat wears glasses and a cozy cardigan, sitting in a small armchair holding a notebook."
"21","21-AI.png","21-AI.png","게임 디자이너","ゲームデザイナー","AI 강화형","The cat wears a gaming headset, placing tiny game pieces on a paper map. Pixel art mushroo"
"22","22-AE.png","22-AE.png","음악 프로듀서","音楽プロデューサー","AI 강화형","The cat wears oversized headphones, adjusting faders on a small mixing console. Musical no"
"23","23-SA.png","23-SE.png","통역사","通訳者","AI 강화형","The cat wears a professional blazer with UN-style earpiece, speaking into a microphone. Sm"
"24","24-IR.png","24-IS.png","수의사","獣医師","AI 강화형","The cat wears a vet coat, bandaging a small puppy's paw. Pet treats, a pet carrier, and me"
"25","25-AI.png","25-AI.png","큐레이터","キュレーター","AI 강화형","The cat wears a beret and scarf, hanging a small framed painting. Other artworks leaning, "
"26","26-CE.png","33-CE.png","은행원","銀行員","AI 대체위험형","The cat wears a bank uniform, counting coin stacks behind a small counter window. Stamp pa"
